Time [sec],Altitude True [m],Velocity True [m/s],Ballistic Coefficient True [],Range True [m],Range measurement [m],
22.3447,7288.25,-235.577,0.001,5498.74,5492.77,
22.4449,7264.68,-234.976,0.001,5488.97,5537.34,
22.5451,7241.16,-234.379,0.001,5479.31,5457.39,
22.6453,7217.71,-233.787,0.001,5469.76,5564.27,
22.7455,7194.31,-233.197,0.001,5460.31,5422.8,
22.8457,7170.97,-232.612,0.001,5450.97,5422.63,
22.9459,7147.7,-232.03,0.001,5441.75,5511.54,
23.0461,7124.47,-231.452,0.001,5432.62,5433.61,
23.1463,7101.31,-230.877,0.001,5423.61,5451.11,
23.2465,7078.21,-230.306,0.001,5414.7,5362.61,
23.3467,7055.16,-229.739,0.001,5405.89,5376.9,
23.4469,7032.17,-229.175,0.001,5397.19,5401.92,
23.5471,7009.23,-228.615,0.001,5388.6,5435.1,
23.6473,6986.35,-228.058,0.001,5380.11,5308.62,
23.7475,6963.53,-227.505,0.001,5371.73,5366.7,
23.8477,6940.76,-226.955,0.001,5363.45,5387.13,
23.9479,6918.05,-226.409,0.001,5355.27,5380.55,
24.0481,6895.39,-225.866,0.001,5347.19,5342.52,
24.1483,6872.78,-225.326,0.001,5339.22,5349.14,
24.2485,6850.23,-224.79,0.001,5331.36,5296.06,
24.3487,6827.73,-224.257,0.001,5323.59,5344.77,
24.4489,6805.29,-223.727,0.001,5315.93,5350.84,
24.5491,6782.9,-223.201,0.001,5308.36,5271.72,
24.6493,6760.56,-222.678,0.001,5300.9,5340.49,
24.7495,6738.27,-222.158,0.001,5293.54,5308.99,
24.8497,6716.04,-221.641,0.001,5286.28,5257.6,
24.9499,6693.86,-221.128,0.001,5279.12,5416.14,
25.0501,6671.73,-220.618,0.001,5272.06,5239.08,
25.1503,6649.64,-220.111,0.001,5265.1,5287.39,
25.2505,6627.61,-219.607,0.001,5258.24,5301.31,
25.3507,6605.64,-219.106,0.001,5251.48,5238.72,
25.4509,6583.71,-218.608,0.001,5244.82,5276.46,
25.5511,6561.83,-218.113,0.001,5238.25,5263.64,
25.6513,6540,-217.622,0.001,5231.79,5228.98,
25.7515,6518.21,-217.133,0.001,5225.42,5265.76,
25.8517,6496.48,-216.647,0.001,5219.14,5208.18,
25.9519,6474.8,-216.165,0.001,5212.97,5257.97,
26.0521,6453.16,-215.685,0.001,5206.89,5249,
26.1523,6431.57,-215.208,0.001,5200.9,5122.84,
26.2525,6410.03,-214.734,0.001,5195.02,5161.48,
26.3527,6388.54,-214.263,0.001,5189.22,5270.67,
26.4529,6367.1,-213.795,0.001,5183.53,5304.57,
26.5531,6345.7,-213.33,0.001,5177.92,5155.14,
26.6533,6324.34,-212.867,0.001,5172.42,5147.64,
26.7535,6303.04,-212.408,0.001,5167,5124.32,
26.8537,6281.78,-211.951,0.001,5161.68,5145.03,
26.9539,6260.56,-211.497,0.001,5156.45,5068.6,
27.0541,6239.39,-211.045,0.001,5151.32,5205.57,
27.1543,6218.27,-210.597,0.001,5146.28,5137.26,
27.2545,6197.19,-210.151,0.001,5141.33,5168.41,
27.3547,6176.15,-209.708,0.001,5136.47,5175.41,
27.4549,6155.16,-209.267,0.001,5131.71,5144.74,
27.5551,6134.22,-208.829,0.001,5127.03,5067.45,
27.6553,6113.31,-208.394,0.001,5122.45,5096.82,
27.7555,6092.45,-207.961,0.001,5117.95,5046.44,
27.8557,6071.64,-207.531,0.001,5113.55,5101.45,
27.9559,6050.87,-207.103,0.001,5109.24,5221.97,
28.0561,6030.13,-206.678,0.001,5105.01,5193.99,
28.1563,6009.45,-206.256,0.001,5100.88,5114.65,
28.2565,5988.8,-205.836,0.001,5096.83,5059.84,
28.3567,5968.2,-205.418,0.001,5092.88,5104.89,
28.4569,5947.63,-205.003,0.001,5089.01,5100.71,
28.5571,5927.11,-204.591,0.001,5085.23,5053.68,
28.6573,5906.63,-204.181,0.001,5081.53,5028.55,
28.7575,5886.2,-203.773,0.001,5077.93,5095.88,
28.8577,5865.8,-203.368,0.001,5074.41,5084.81,
